year,month,data
2016,1,96812334.96044827
2016,2,95436530.77782059
2016,3,115270625.48609066
2016,4,139324010.7350998
2016,5,108587343.23582172
2016,6,116676502.6746378
2016,7,113191827.61317444
2016,8,139561892.40846622
2016,9,152917024.48203468
2016,10,211633380.72301722
2016,11,256654031.91054076
2016,12,258957148.10312712
2017,1,177191391.36796618
2017,2,161617657.5208788
2017,3,214789307.6102438
2017,4,197661209.96623075
2017,5,217075552.50557518
2017,6,184955837.5786047
2017,7,187225893.48038292
2017,8,205855839.99133873
2017,9,212034384.40673923
2017,10,280213678.8932524
2017,11,326694751.3766872
2017,12,372349286.2933359
